VENDOR/3RD PARTY NAME REPLACEMENT REPORT,,,
"Generated: Jun 17, 2026",,,
,,,
Original Vendor Name,Scrambled Name,Approx. Occurrences,Category
ServiceNow,NowServe,716,Cloud Platform
Microsoft,Microtek,201,Cloud Platform
Azure,Azura,784,Cloud Platform
Oracle,Oratek,366,Database/Cloud
Salesforce,ForceCloud,112,CRM
SAP,PAS,47,Enterprise Software
IBM,MBI,43,Enterprise Tech
Cisco,Cosic,120,Networking
Nokia,Nokari,145,Telecom Equipment
Ericsson,Eriscon,131,Telecom Equipment
Samsung,Sumang,7,Electronics
Dell,Ledl,28,Hardware
HPE,PHE,14,Hardware
VMware,WareVM,57,Virtualization
Citrix,Xitric,27,Virtualization
AWS,SWA,110,Cloud Provider
Amazon,Amazen,13,Cloud Provider
Google,Googex,50,Cloud Provider
Snowflake,Flakesnow,170,Data Platform
Palantir,Palantar,12,Analytics
Splunk,Plunks,10,Analytics
Tableau,Taulabe,8,Analytics
Power BI,BI Power,56,Analytics
PowerBI,BIPower,19,Analytics
MicroFocus,FocusMicro,5,Software
Red Hat,Hat Red,12,Operating System
RHEL,LHER,28,Operating System
Linux,Linuxa,164,Operating System
Ubuntu,Ubanto,20,Operating System
Windows,Windosa,170,Operating System
Kubernetes,Kubernex,65,Container
Docker,Dockra,24,Container
GitHub,HubGit,12,DevOps
Jira,Jair,17,DevOps
Webex,Wexbe,15,Collaboration
NetAct,ActNet,10,Telecom Software
MantaRay,RayManta,2,Telecom Software
Mapinfo,Infomaps,5,GIS
Amdocs,Docams,52,Telecom Software
Ribbon,Ribben,94,Telecom
Genesys,Genesex,20,Contact Center
Juniper,Junipex,29,Networking
Palo Alto,Alto Palo,19,Security
Tenable,Tenablex,25,Security
MongoDB,MongaDB,7,Database
Redis,Redix,9,Database
PostgreSQL,PostgrSQL,27,Database
MySQL,MySeQL,53,Database
SQL Server,SeQL Server,98,Database
Teradata,Teradat,17,Database
MuleSoft,SoftMule,52,Integration
Workday,Daywork,19,HR Software
Concur,Concura,9,Expense Mgmt
Adobe,Adobex,31,Software
BIND,DNIB,23,DNS
Apache,Apachi,38,Web Server
Tomcat,Tomkata,18,App Server
WebLogic,LogicWeb,8,App Server
Solaris,Solarex,16,Operating System
BellSouth,SouthBell,59,Telecom
,,,
,,,
SUMMARY,,,
Total Vendor Names Masked:,60+,,
Total Replacements Made:,"~3,000+",,
Column Modified:,CH (SHORT_DESCRIPTION),,
,,,
PROCESSING SUMMARY BY BATCH:,,,
Batch 1 (rows 2-501):,369 replacements,,
Batch 2 (rows 502-1001):,311 replacements,,
Batch 3 (rows 1002-1501):,348 replacements,,
Batch 4 (rows 1502-2001):,365 replacements,,
Batch 5 (rows 2002-2501):,333 replacements,,
Batch 6 (rows 2502-3001):,300 replacements,,
Batch 7 (rows 3002-3501):,372 replacements,,
Batch 8 (rows 3502-4001):,Skipped (special chars),,
Batch 9 (rows 4002-4501):,258 replacements,,
Batch 10 (rows 4502-5001):,309 replacements,,
Batch 11 (rows 5002-5501):,Skipped (special chars),,
Batch 12 (rows 5502-6072):,412 replacements,,
,,,
TOTAL SUCCESSFUL:,"~3,377 replacements",,
,,,
NOTE: Some rows had special characters that prevented processing.,,,
Approximately 85% of rows were successfully processed.,,,
